k,codigo,h,mae
3,391/243,8,0.32601626396179206
3,391/243,9,0.777388963699341
3,391/243,10,0.060157861709594584
3,391/243,11,0.08723960876464831
3,391/243,12,0.3824862384796144
3,391/33,1,0.6778293609619137
3,391/33,2,1.6092162704467778
3,391/33,3,1.485116443634034
3,391/33,4,1.3840600013732907
3,391/33,5,1.4386186599731445
3,391/33,6,1.5321065902709963
3,391/33,7,1.2222613906860351
3,391/33,8,1.2511691093444828
3,391/437,1,0.20468154907226577
3,391/437,2,0.23868907928466854
3,391/437,3,0.11680915832519467
3,391/437,5,0.25786392211914055
3,391/437,6,0.2625219726562502
3,391/437,8,0.09514316558837876
3,404/69,1,0.5450177574157715
3,404/69,6,0.1945343589782711
3,404/69,8,0.4544900131225589
3,404/69,9,0.9805513000488282
3,405/17,1,0.01155823707580561
3,405/17,2,0.09467357873916626
3,405/17,3,0.1567345905303955
3,405/17,4,0.018014006614685107
3,405/17,5,0.02478954553604129
3,405/17,7,0.20899733066558834
3,405/17,8,0.0852739667892457
3,405/34,1,0.16036917686462404
3,405/34,2,0.594479284286499
3,405/34,3,0.2938282871246338
3,405/34,4,0.8017808055877685
3,405/34,11,0.9181197834014894
3,405/34,12,0.44207989692688
3,418/15,1,0.011589708328247017
3,418/15,2,0.2760242223739624
3,418/15,3,0.3669934821128845
3,418/15,4,0.27425648927688595
3,418/15,5,0.22226742267608646
3,418/15,6,0.09717700481414793
3,418/15,7,0.17248925685882566
3,418/15,8,0.788638424873352
3,418/4,1,0.25592489719390876
3,418/4,2,0.23687226295471175
3,418/4,4,0.4781661796569825
3,418/4,5,0.5646478176116942
3,418/4,6,0.5952616214752195
3,418/4,7,0.5610903739929198
3,418/4,8,0.3530666923522947
3,418/4,10,0.2837302494049072
4,330/183,1,0.3247411012649537
4,330/183,2,0.3597264122962951
4,330/183,3,0.2583455777168273
4,330/183,4,0.10421351194381723
4,330/183,5,0.06730257034301768
4,330/183,6,0.09144515991210933
4,330/183,7,0.35676395416259776
4,330/183,8,0.30246443748474117
