"data","localizacao","caudal_médio_diário(m3/s)","coord_x_m","coord_y_m"
1974-01-09,ALMOUROL (17G/02H),"347.70",179148.403,276991.639
1974-01-10,ALMOUROL (17G/02H),"504.20",179148.403,276991.639
1974-01-11,ALMOUROL (17G/02H),"480.70",179148.403,276991.639
1974-01-12,ALMOUROL (17G/02H),"438.40",179148.403,276991.639
1974-01-13,ALMOUROL (17G/02H),"343.40",179148.403,276991.639
1974-01-14,ALMOUROL (17G/02H),"423.70",179148.403,276991.639
1974-01-17,ALMOUROL (17G/02H),"278.20",179148.403,276991.639
1974-01-18,ALMOUROL (17G/02H),"314.30",179148.403,276991.639
1974-01-19,ALMOUROL (17G/02H),"383.60",179148.403,276991.639
1974-01-20,ALMOUROL (17G/02H),"248.50",179148.403,276991.639
1974-01-21,ALMOUROL (17G/02H),"307.30",179148.403,276991.639
1974-01-22,ALMOUROL (17G/02H),"459.20",179148.403,276991.639
1974-01-23,ALMOUROL (17G/02H),"555.30",179148.403,276991.639
1974-01-24,ALMOUROL (17G/02H),"629.10",179148.403,276991.639
1974-01-25,ALMOUROL (17G/02H),"688.30",179148.403,276991.639
1974-01-26,ALMOUROL (17G/02H),"643.60",179148.403,276991.639
1974-01-27,ALMOUROL (17G/02H),"536.00",179148.403,276991.639
1974-01-28,ALMOUROL (17G/02H),"689.70",179148.403,276991.639
1974-01-29,ALMOUROL (17G/02H),"736.20",179148.403,276991.639
1974-01-30,ALMOUROL (17G/02H),"685.00",179148.403,276991.639
1974-01-31,ALMOUROL (17G/02H),"745.70",179148.403,276991.639
1974-02-01,ALMOUROL (17G/02H),"819.10",179148.403,276991.639
1974-02-02,ALMOUROL (17G/02H),"978.20",179148.403,276991.639
1974-02-03,ALMOUROL (17G/02H),"720.80",179148.403,276991.639
1974-02-04,ALMOUROL (17G/02H),"670.20",179148.403,276991.639
1974-02-05,ALMOUROL (17G/02H),"692.40",179148.403,276991.639
1974-02-06,ALMOUROL (17G/02H),"601.40",179148.403,276991.639
1974-02-07,ALMOUROL (17G/02H),"615.10",179148.403,276991.639
1974-02-08,ALMOUROL (17G/02H),"574.10",179148.403,276991.639
1974-02-09,ALMOUROL (17G/02H),"593.90",179148.403,276991.639
1974-02-10,ALMOUROL (17G/02H),"447.40",179148.403,276991.639
1974-02-11,ALMOUROL (17G/02H),"431.00",179148.403,276991.639
1974-02-12,ALMOUROL (17G/02H),"741.70",179148.403,276991.639
1974-02-13,ALMOUROL (17G/02H),"1201.40",179148.403,276991.639
1974-02-14,ALMOUROL (17G/02H),"1040.90",179148.403,276991.639
1974-02-15,ALMOUROL (17G/02H),"1064.20",179148.403,276991.639
1974-02-16,ALMOUROL (17G/02H),"1533.30",179148.403,276991.639
1974-02-17,ALMOUROL (17G/02H),"1188.90",179148.403,276991.639
1974-02-18,ALMOUROL (17G/02H),"889.60",179148.403,276991.639
1974-02-19,ALMOUROL (17G/02H),"873.00",179148.403,276991.639
1974-02-20,ALMOUROL (17G/02H),"945.10",179148.403,276991.639
1974-02-21,ALMOUROL (17G/02H),"895.50",179148.403,276991.639
1974-02-22,ALMOUROL (17G/02H),"817.00",179148.403,276991.639
1974-02-23,ALMOUROL (17G/02H),"706.10",179148.403,276991.639
1974-02-24,ALMOUROL (17G/02H),"724.80",179148.403,276991.639
1974-02-25,ALMOUROL (17G/02H),"483.90",179148.403,276991.639
1974-02-26,ALMOUROL (17G/02H),"679.70",179148.403,276991.639
1974-02-27,ALMOUROL (17G/02H),"699.80",179148.403,276991.639
1974-02-28,ALMOUROL (17G/02H),"591.80",179148.403,276991.639
1974-03-01,ALMOUROL (17G/02H),"631.00",179148.403,276991.639
1974-03-02,ALMOUROL (17G/02H),"642.60",179148.403,276991.639
1974-03-03,ALMOUROL (17G/02H),"415.80",179148.403,276991.639
1974-03-04,ALMOUROL (17G/02H),"409.10",179148.403,276991.639
1974-03-05,ALMOUROL (17G/02H),"543.30",179148.403,276991.639
1974-03-06,ALMOUROL (17G/02H),"635.20",179148.403,276991.639
1974-03-07,ALMOUROL (17G/02H),"703.90",179148.403,276991.639
1974-03-08,ALMOUROL (17G/02H),"708.60",179148.403,276991.639
1974-03-09,ALMOUROL (17G/02H),"517.70",179148.403,276991.639
1974-03-10,ALMOUROL (17G/02H),"460.00",179148.403,276991.639
1974-03-11,ALMOUROL (17G/02H),"473.80",179148.403,276991.639
1974-03-12,ALMOUROL (17G/02H),"569.80",179148.403,276991.639
1974-03-13,ALMOUROL (17G/02H),"362.80",179148.403,276991.639
1974-03-14,ALMOUROL (17G/02H),"316.50",179148.403,276991.639
1974-03-15,ALMOUROL (17G/02H),"384.60",179148.403,276991.639
1974-03-16,ALMOUROL (17G/02H),"431.90",179148.403,276991.639
1974-03-17,ALMOUROL (17G/02H),"220.50",179148.403,276991.639
1974-03-18,ALMOUROL (17G/02H),"234.70",179148.403,276991.639
1974-03-19,ALMOUROL (17G/02H),"348.00",179148.403,276991.639
1974-03-20,ALMOUROL (17G/02H),"283.40",179148.403,276991.639
1974-03-21,ALMOUROL (17G/02H),"417.60",179148.403,276991.639
1974-03-22,ALMOUROL (17G/02H),"363.20",179148.403,276991.639
1974-03-23,ALMOUROL (17G/02H),"368.00",179148.403,276991.639
1974-03-24,ALMOUROL (17G/02H),"332.90",179148.403,276991.639
1974-03-25,ALMOUROL (17G/02H),"455.80",179148.403,276991.639
1974-03-26,ALMOUROL (17G/02H),"304.70",179148.403,276991.639
1974-03-27,ALMOUROL (17G/02H),"346.10",179148.403,276991.639
1974-03-28,ALMOUROL (17G/02H),"361.20",179148.403,276991.639
1974-03-29,ALMOUROL (17G/02H),"328.00",179148.403,276991.639
1974-03-30,ALMOUROL (17G/02H),"261.50",179148.403,276991.639
1974-03-31,ALMOUROL (17G/02H),"181.50",179148.403,276991.639
1974-04-01,ALMOUROL (17G/02H),"180.70",179148.403,276991.639
1974-04-02,ALMOUROL (17G/02H),"318.20",179148.403,276991.639
1974-04-03,ALMOUROL (17G/02H),"374.30",179148.403,276991.639
1974-04-04,ALMOUROL (17G/02H),"426.50",179148.403,276991.639
1974-04-05,ALMOUROL (17G/02H),"389.60",179148.403,276991.639
1974-04-06,ALMOUROL (17G/02H),"333.20",179148.403,276991.639
1974-04-07,ALMOUROL (17G/02H),"337.10",179148.403,276991.639
1974-04-08,ALMOUROL (17G/02H),"223.50",179148.403,276991.639
1974-04-09,ALMOUROL (17G/02H),"407.40",179148.403,276991.639
1974-04-10,ALMOUROL (17G/02H),"437.80",179148.403,276991.639
1974-04-11,ALMOUROL (17G/02H),"436.80",179148.403,276991.639
1974-04-12,ALMOUROL (17G/02H),"342.80",179148.403,276991.639
1974-04-13,ALMOUROL (17G/02H),"305.50",179148.403,276991.639
1974-04-14,ALMOUROL (17G/02H),"292.10",179148.403,276991.639
1974-04-15,ALMOUROL (17G/02H),"278.70",179148.403,276991.639
1974-04-16,ALMOUROL (17G/02H),"438.30",179148.403,276991.639
1974-04-17,ALMOUROL (17G/02H),"478.60",179148.403,276991.639
1974-04-18,ALMOUROL (17G/02H),"473.40",179148.403,276991.639
1974-04-19,ALMOUROL (17G/02H),"485.00",179148.403,276991.639
1974-04-20,ALMOUROL (17G/02H),"487.20",179148.403,276991.639
1974-04-21,ALMOUROL (17G/02H),"483.70",179148.403,276991.639
1974-04-22,ALMOUROL (17G/02H),"359.90",179148.403,276991.639
1974-04-23,ALMOUROL (17G/02H),"375.00",179148.403,276991.639
1974-04-24,ALMOUROL (17G/02H),"600.90",179148.403,276991.639
1974-04-25,ALMOUROL (17G/02H),"607.50",179148.403,276991.639
1974-04-26,ALMOUROL (17G/02H),"645.90",179148.403,276991.639
1974-04-27,ALMOUROL (17G/02H),"758.70",179148.403,276991.639
1974-04-28,ALMOUROL (17G/02H),"603.20",179148.403,276991.639
1974-04-29,ALMOUROL (17G/02H),"238.10",179148.403,276991.639
1974-04-30,ALMOUROL (17G/02H),"631.80",179148.403,276991.639
1974-05-01,ALMOUROL (17G/02H),"532.60",179148.403,276991.639
1974-05-02,ALMOUROL (17G/02H),"386.50",179148.403,276991.639
1974-05-03,ALMOUROL (17G/02H),"516.80",179148.403,276991.639
1974-05-04,ALMOUROL (17G/02H),"523.60",179148.403,276991.639
1974-05-05,ALMOUROL (17G/02H),"478.10",179148.403,276991.639
1974-05-06,ALMOUROL (17G/02H),"497.20",179148.403,276991.639
1974-05-07,ALMOUROL (17G/02H),"486.00",179148.403,276991.639
1974-05-08,ALMOUROL (17G/02H),"582.30",179148.403,276991.639
1974-05-09,ALMOUROL (17G/02H),"611.90",179148.403,276991.639
1974-05-10,ALMOUROL (17G/02H),"499.00",179148.403,276991.639
1974-05-11,ALMOUROL (17G/02H),"434.20",179148.403,276991.639
1974-05-12,ALMOUROL (17G/02H),"319.00",179148.403,276991.639
1974-05-13,ALMOUROL (17G/02H),"306.50",179148.403,276991.639
1974-05-14,ALMOUROL (17G/02H),"391.30",179148.403,276991.639
1974-05-15,ALMOUROL (17G/02H),"370.20",179148.403,276991.639
1974-05-16,ALMOUROL (17G/02H),"327.80",179148.403,276991.639
1974-05-17,ALMOUROL (17G/02H),"330.40",179148.403,276991.639
1974-05-18,ALMOUROL (17G/02H),"253.40",179148.403,276991.639
1974-05-19,ALMOUROL (17G/02H),"318.30",179148.403,276991.639
1974-05-20,ALMOUROL (17G/02H),"307.60",179148.403,276991.639
1974-05-21,ALMOUROL (17G/02H),"331.40",179148.403,276991.639
1974-05-27,ALMOUROL (17G/02H),"246.30",179148.403,276991.639
1974-05-28,ALMOUROL (17G/02H),"232.50",179148.403,276991.639
1974-05-29,ALMOUROL (17G/02H),"183.00",179148.403,276991.639
1974-05-30,ALMOUROL (17G/02H),"213.20",179148.403,276991.639
1974-05-31,ALMOUROL (17G/02H),"162.40",179148.403,276991.639
1974-06-01,ALMOUROL (17G/02H),"201.00",179148.403,276991.639
1974-06-02,ALMOUROL (17G/02H),"136.40",179148.403,276991.639
1974-06-03,ALMOUROL (17G/02H),"208.90",179148.403,276991.639
1974-06-04,ALMOUROL (17G/02H),"109.20",179148.403,276991.639
1974-06-05,ALMOUROL (17G/02H),"166.70",179148.403,276991.639
1974-06-06,ALMOUROL (17G/02H),"176.10",179148.403,276991.639
1974-06-07,ALMOUROL (17G/02H),"170.60",179148.403,276991.639
1974-06-08,ALMOUROL (17G/02H),"173.90",179148.403,276991.639
1974-06-09,ALMOUROL (17G/02H),"85.40",179148.403,276991.639
1974-06-10,ALMOUROL (17G/02H),"102.70",179148.403,276991.639
1974-06-11,ALMOUROL (17G/02H),"146.70",179148.403,276991.639
1974-06-12,ALMOUROL (17G/02H),"226.80",179148.403,276991.639
1974-06-13,ALMOUROL (17G/02H),"224.00",179148.403,276991.639
1974-06-14,ALMOUROL (17G/02H),"218.00",179148.403,276991.639
1974-06-15,ALMOUROL (17G/02H),"247.70",179148.403,276991.639
1974-06-16,ALMOUROL (17G/02H),"219.20",179148.403,276991.639
1974-06-17,ALMOUROL (17G/02H),"215.90",179148.403,276991.639
1974-06-18,ALMOUROL (17G/02H),"217.50",179148.403,276991.639
