site_id,site_label,y_m,x_m,n_obs,first_date,last_date,total_prec_mm,freq_label,missing_count,missing_first_5
236579.55_115316.05,19C/07G | 236579.55_115316.05,236579.55,115316.055,15489,1979-10-01,2025-01-01,23434.1,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
236628.66_119450.62,19C/13C | 236628.66_119450.62,236628.66,119450.62,16144,1979-10-01,2025-01-01,9043.8,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
237501.0_149977.0,19E/01UG | 237501.0_149977.0,237501.0,149977.0,16144,1979-10-01,2025-01-01,20291.7,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
238512.0_125981.0,19D/02UG | 238512.0_125981.0,238512.0,125981.0,16144,1979-10-01,2025-01-01,19219.9,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
238706.0_181073.0,19G/01UG | 238706.0_181073.0,238706.0,181073.0,15489,1979-10-01,2025-01-01,19498.9,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
239794.69_114629.92,19C/05U | 239794.69_114629.92,239794.69,114629.92,15898,1979-10-01,2025-01-01,2466.6,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
241737.3_168665.78,19G/03C | 241737.3_168665.78,241737.3,168665.78,15731,1979-10-01,2024-12-17,8042.9,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
241796.56_117798.21,19C/04C | 241796.56_117798.21,241796.56,117798.21,16144,1979-10-01,2025-01-01,24976.1,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
241953.1_124089.55,19C/03G | 241953.1_124089.55,241953.11,124089.55,15324,1979-10-01,2025-01-01,11766.2,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
244067.6_139383.98,19E/03UG | 244067.6_139383.98,244067.6,139383.98,14697,1979-10-01,2024-12-19,21446.0,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
246011.0_170407.0,18G/03UC | 246011.0_170407.0,246011.0,170407.0,15489,1979-10-01,2025-01-01,22457.9,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
249438.0_158139.0,18F/01UG | 249438.0_158139.0,249438.0,158139.0,15731,1979-10-01,2024-12-17,20229.1,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
249727.34_192664.19,18H/02UG | 249727.34_192664.19,249727.34,192664.17,14697,1979-10-01,2024-12-19,16900.9,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
249748.0_128587.0,18D/03C | 249748.0_128587.0,249748.0,128587.0,15324,1979-10-01,2025-01-01,27571.5,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
253931.0_150886.0,18E/01C | 253931.0_150886.0,253931.0,150886.0,14697,1979-10-01,2024-12-19,18583.9,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
256219.0_181204.0,18G/01G | 256219.0_181204.0,256219.0,181204.0,15229,1979-10-01,2025-01-01,25158.4,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
256822.1_191088.86,18H/04UG | 256822.1_191088.86,256822.1,191088.86,15898,1979-10-01,2025-01-01,22179.7,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
257158.0_137368.0,18D/02UG | 257158.0_137368.0,257158.0,137368.0,14697,1979-10-01,2024-12-19,22029.4,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
258754.55_131181.53,18D/01C | 258754.55_131181.53,258754.55,131181.53,15731,1979-10-01,2024-12-17,24004.0,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
260637.0_174188.0,18G/02UG | 260637.0_174188.0,260637.0,174188.0,15898,1979-10-01,2025-01-01,19011.3,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
264527.06_199334.6,17I/02UG | 264527.06_199334.6,264527.06,199334.61,16530,1979-10-01,2025-01-01,21243.4,daily,0,
264929.22_147380.12,17E/03UG | 264929.22_147380.12,264929.22,147380.12,15731,1979-10-01,2024-12-17,26482.4,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
265977.0_169523.0,17G/02G | 265977.0_169523.0,265977.0,169523.0,15229,1979-10-01,2025-01-01,21751.5,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
266511.28_138252.5,17D/04G | 266511.28_138252.5,266511.28,138252.5,15229,1979-10-01,2025-01-01,27496.6,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
269299.22_154325.78,17F/01UG | 269299.22_154325.78,269299.22,154325.78,16144,1979-10-01,2025-01-01,24759.8,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
272152.22_141012.9,17E/01U | 272152.22_141012.9,272152.22,141012.9,15324,1979-10-01,2025-01-01,4934.0,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
272184.28_145056.23,17E/02UG | 272184.28_145056.23,272184.28,145056.23,15324,1979-10-01,2025-01-01,30147.8,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
272334.1_161133.11,17F/03G | 272334.1_161133.11,272334.1,161133.11,15324,1979-10-01,2025-01-01,9709.5,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
276135.62_165933.62,17F/05UG | 276135.62_165933.62,276135.62,165933.62,15898,1979-10-01,2025-01-01,20144.6,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
276218.0_202682.0,17H/01C | 276218.0_202682.0,276218.0,202682.0,15324,1979-10-01,2025-01-01,23870.2,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
276904.47_154390.0,17F/02CG | 276904.47_154390.0,276904.47,154390.0,15324,1979-10-01,2025-01-01,4519.4,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
278641.38_182246.19,17G/04UG | 278641.38_182246.19,278641.38,182246.17,15229,1979-10-01,2025-01-01,23049.3,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
280626.47_203182.95,16I/03UG | 280626.47_203182.95,280626.47,203182.97,16144,1979-10-01,2025-01-01,26359.7,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
280738.6_136021.36,17D/03UG | 280738.6_136021.36,280738.6,136021.36,15731,1979-10-01,2024-12-17,27556.1,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
282612.5_149071.95,16E/04U | 282612.5_149071.95,282612.5,149071.95,14697,1979-10-01,2024-12-19,14711.6,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
283591.0_160616.0,16F/04C | 283591.0_160616.0,283591.0,160616.0,16144,1979-10-01,2025-01-01,34042.7,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
283700.53_152590.55,16E/02G | 283700.53_152590.55,283700.53,152590.55,15489,1979-10-01,2025-01-01,37703.5,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
284686.5_171751.36,16G/02UG | 284686.5_171751.36,284686.5,171751.36,15229,1979-10-01,2025-01-01,19544.9,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
285529.84_197688.48,16I/04UG | 285529.84_197688.48,285529.84,197688.48,14697,1979-10-01,2024-12-19,26896.7,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
285731.2_183910.02,16H/01C | 285731.2_183910.02,285731.2,183910.02,15731,1979-10-01,2024-12-17,10331.2,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
291083.44_155857.45,16F/03U | 291083.44_155857.45,291083.44,155857.45,16530,1979-10-01,2025-01-01,13556.7,daily,0,
293148.44_177746.45,16G/01UG | 293148.44_177746.45,293148.44,177746.47,15898,1979-10-01,2025-01-01,28978.7,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
