site_id,site_label,freq_label,missing_count,missing_first_5
249727.34_192664.19,18H/02UG | 249727.34_192664.19,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
249748.0_128587.0,18D/03C | 249748.0_128587.0,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
253931.0_150886.0,18E/01C | 253931.0_150886.0,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
256219.0_181204.0,18G/01G | 256219.0_181204.0,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
256822.1_191088.86,18H/04UG | 256822.1_191088.86,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
257158.0_137368.0,18D/02UG | 257158.0_137368.0,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
258754.55_131181.53,18D/01C | 258754.55_131181.53,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
260637.0_174188.0,18G/02UG | 260637.0_174188.0,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
264527.06_199334.6,17I/02UG | 264527.06_199334.6,daily,0,
264929.22_147380.12,17E/03UG | 264929.22_147380.12,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
265977.0_169523.0,17G/02G | 265977.0_169523.0,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
266511.28_138252.5,17D/04G | 266511.28_138252.5,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
269299.22_154325.78,17F/01UG | 269299.22_154325.78,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
272152.22_141012.9,17E/01U | 272152.22_141012.9,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
272184.28_145056.23,17E/02UG | 272184.28_145056.23,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
272334.1_161133.11,17F/03G | 272334.1_161133.11,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
276135.62_165933.62,17F/05UG | 276135.62_165933.62,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
276218.0_202682.0,17H/01C | 276218.0_202682.0,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
276904.47_154390.0,17F/02CG | 276904.47_154390.0,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
278641.38_182246.19,17G/04UG | 278641.38_182246.19,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
280626.47_203182.95,16I/03UG | 280626.47_203182.95,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
280738.6_136021.36,17D/03UG | 280738.6_136021.36,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
282612.5_149071.95,16E/04U | 282612.5_149071.95,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
283591.0_160616.0,16F/04C | 283591.0_160616.0,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
283700.53_152590.55,16E/02G | 283700.53_152590.55,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
284686.5_171751.36,16G/02UG | 284686.5_171751.36,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
285529.84_197688.48,16I/04UG | 285529.84_197688.48,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
285731.2_183910.02,16H/01C | 285731.2_183910.02,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
291083.44_155857.45,16F/03U | 291083.44_155857.45,daily,0,
293148.44_177746.45,16G/01UG | 293148.44_177746.45,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
