year,month,piezometric_level_m
2007,7,24.237543
2007,8,23.612772
2007,9,23.636667
2007,10,24.925371
2007,11,24.93819
2007,12,25.270166
2008,1,25.60425
2008,2,25.873161
2008,3,26.003635
2008,4,24.789053
2008,5,18.73579
2008,6,11.737059
2008,7,11.996666
2008,8,14.104828
2008,9,13.219523
2008,10,14.035334
2008,11,14.375999
2008,12,14.6005
2009,1,24.074894
2009,2,25.060455
2009,3,24.768518
2009,4,24.396908
2009,5,24.507679
2009,6,23.4025
2009,7,23.127369
2009,8,22.368853
2009,9,22.391333
2009,10,24.070625
2009,11,24.053404
2009,12,24.402708
2010,1,21.629025
2010,2,18.125349
2010,3,18.574814
2010,4,17.748148
2010,5,12.201892
2010,6,8.253559
2010,7,6.6832204
2010,8,6.664746
2010,9,6.483966
2010,10,6.9063935
2010,11,7.7836666
2010,12,8.460164
2011,1,8.9365
2011,2,8.962264
2011,3,7.1327996
2011,4,8.536296
2011,5,9.863709
2011,6,8.73069
2011,7,5.1509995
2011,8,7.1439657
2011,9,6.4920754
2011,10,6.796491
2011,11,8.1866665
2011,12,8.121964
2012,1,7.8149056
2012,2,8.936728
2012,3,8.514737
2012,4,8.1563635
2012,5,7.998
2012,6,6.5911903
2012,7,3.6159093
2012,8,2.8643181
2012,9,6.190727
2012,10,4.6313953
2012,11,7.426364
2012,12,7.9028573
2013,1,10.103692
2013,2,9.131132
2013,3,9.151428
2013,4,9.590727
2013,5,6.2066665
2013,6,8.677962
2013,7,7.779821
2013,8,4.6606383
2013,9,6.8534546
2013,10,8.603125
2013,11,5.2097826
2013,12,7.930182
2014,1,8.586182
2014,2,7.054773
2014,3,11.059839
2014,4,9.766909
2014,5,9.46678
2014,6,9.206724
2014,7,8.107119
2014,8,7.1581354
2014,9,1.4478787
2014,10,10.044328
2014,11,8.458597
2014,12,7.7513638
2015,1,9.294483
2015,2,10.13375
2015,3,9.1425
2015,4,9.691187
2015,5,9.0946665
2015,6,8.033729
2015,7,6.6513557
2015,8,6.068983
2015,9,5.988929
2015,10,6.913889
2015,11,6.2018604
2015,12,5.880244
2016,1,2.7770588
2016,2,17.451054
2016,3,21.65625
2016,4,16.901154
2016,5,16.815758
2016,6,15.750799
2016,7,9.55
2016,8,9.845625
2016,10,11.407333
2016,11,15.260358
2016,12,17.753666
2017,1,12.902352
2017,2,15.010455
2017,3,6.1376314
2017,4,5.2388887
2017,5,7.0273075
2017,6,6.673077
2017,7,5.771
2017,8,5.1453567
2017,9,4.9731817
2017,10,3.9777966
2017,11,5.301724
2017,12,6.6616125
2018,1,7.535231
2018,2,8.261129
2018,3,8.396032
2018,4,8.029649
2018,5,15.553803
2018,6,15.661477
2018,7,14.828924
2018,8,14.037234
2018,9,14.594936
2018,10,13.91742
2018,11,14.772168
2018,12,14.805122
2019,1,15.338936
2019,2,15.561519
2019,3,15.690948
2019,4,15.53914
2019,5,15.163157
2019,6,14.505682
2019,7,13.888937
2019,8,13.029865
2019,9,12.82034
2019,10,13.674054
2019,11,13.945224
2019,12,14.211666
2020,1,14.967128
2020,2,14.624691
2020,3,15.984868
2020,4,14.961047
2020,5,15.254881
2020,6,13.867833
2020,7,9.692858
2020,8,7.2027774
2020,9,9.794167
2020,10,11.495416
2020,11,9.627368
2020,12,2.6766665
2021,1,11.290588
2021,2,13.2648
2021,3,12.926296
2021,4,14.8303995
2021,5,11.763549
2021,6,6.841207
2021,7,5.963571
2021,8,4.539245
2021,9,5.3650875
2021,10,3.169796
2021,11,0.4789189
2021,12,4.2008
2022,1,4.9089584
2022,2,5.255111
2022,3,5.211875
2022,4,5.3241305
2022,5,4.814468
2022,6,4.383261
2022,7,3.7206383
2022,8,2.4930434
2022,9,10.942105
2022,10,14.578718
2022,11,15.58
2022,12,15.796213
2023,1,14.963845
2023,2,15.8785
2023,3,14.963143
2023,4,15.595
2023,5,14.231667
2023,6,12.459
2023,7,9.3825
2023,8,11.412173
2023,9,11.3023815
2023,10,11.565714
2023,11,14.029722
2023,12,12.922
2024,1,13.86
2024,2,15.699584
2024,3,14.501579
2024,4,15.542
2024,5,14.750952
2024,6,13.561819
2024,7,12.5961895
2024,8,10.022
2024,9,11.821905
2024,10,16.193333
2024,11,16.424118
2024,12,18.02375
2025,1,17.657894
