,count,mean,std,min,25%,50%,75%,max
piezometric_level_m,17308.0,13.222177505493164,14.946358680725098,-31.190000534057617,1.237500011920929,9.649999618530273,20.91249990463257,81.20999908447266
water_depth_m,17308.0,20.029054641723633,16.68922233581543,-2.119999885559082,7.909999847412109,13.640000343322754,28.804999351501465,134.38999938964844
meta_unique_points,73.0,,,,,,,
meta_freq_mode,,,monthly,,,,,
