"data","codigo","precipitacao_dia_mm","nome","coord_x_m","coord_y_m"
1980-03-22,"18F/01UG",2.3,ALMEIRIM,"158139","249438"
1980-03-22,"20E/01C",1.6,BARRAGEM DE MAGOS,"151370","224830"
1980-03-22,"17G/02G",1.0,CHAMUSCA,"169523","265977"
1980-03-22,"17G/04UG",1.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-22,"19E/01UG",0.6,MUGE,"149977","237501"
1980-03-22,"20E/02UG",1.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-23,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-23,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-23,"20D/01C",1.3,VILA FRANCA DE XIRA,"129387","219895"
1980-03-24,"18F/01UG",0.2,ALMEIRIM,"158139","249438"
1980-03-24,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-03-24,"17G/02G",1.6,CHAMUSCA,"169523","265977"
1980-03-24,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-24,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-25,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-25,"20E/02UG",1.5,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-25,"20D/01C",0.8,VILA FRANCA DE XIRA,"129387","219895"
1980-03-26,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-03-26,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-03-26,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-03-26,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-27,"17G/04UG",3.7,CONSTÂNCIA,"182246.173","278641.37"
1980-03-27,"19E/01UG",6.8,MUGE,"149977","237501"
1980-03-27,"20E/02UG",20.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-27,"20D/01C",13.6,VILA FRANCA DE XIRA,"129387","219895"
1980-03-28,"18F/01UG",0.7,ALMEIRIM,"158139","249438"
1980-03-28,"20E/01C",1.1,BARRAGEM DE MAGOS,"151370","224830"
1980-03-28,"17G/02G",1.4,CHAMUSCA,"169523","265977"
1980-03-29,"17G/02G",0.3,CHAMUSCA,"169523","265977"
1980-03-29,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-29,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-29,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-29,"20D/01C",0.2,VILA FRANCA DE XIRA,"129387","219895"
1980-03-30,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-03-30,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-03-30,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-03-30,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-31,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-03-31,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-03-31,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-31,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-31,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-31,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-01,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-01,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-02,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-02,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-02,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-02,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-02,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-02,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-03,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-04,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-04,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-04,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-04,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-04,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-04,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-04,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-05,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-05,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-05,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-06,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-06,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-06,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-06,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-06,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-06,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-06,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-07,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-07,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-08,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-08,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-08,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-08,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-08,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-08,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-08,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-09,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-10,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-10,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-10,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-10,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-10,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-10,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-10,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-11,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-12,"18F/01UG",0.3,ALMEIRIM,"158139","249438"
1980-04-12,"20E/01C",1.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-12,"17G/02G",0.8,CHAMUSCA,"169523","265977"
1980-04-12,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-12,"19E/01UG",9.6,MUGE,"149977","237501"
1980-04-12,"20E/02UG",5.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-12,"20D/01C",3.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-13,"20E/02UG",22.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-13,"20D/01C",6.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-14,"18F/01UG",18.4,ALMEIRIM,"158139","249438"
1980-04-14,"20E/01C",23.3,BARRAGEM DE MAGOS,"151370","224830"
1980-04-14,"17G/02G",17.7,CHAMUSCA,"169523","265977"
1980-04-14,"17G/04UG",25.8,CONSTÂNCIA,"182246.173","278641.37"
1980-04-14,"19E/01UG",2.1,MUGE,"149977","237501"
1980-04-14,"20E/02UG",29.5,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-15,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-15,"20E/02UG",8.5,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-15,"20D/01C",1.2,VILA FRANCA DE XIRA,"129387","219895"
1980-04-16,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-16,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-16,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-16,"17G/04UG",0.9,CONSTÂNCIA,"182246.173","278641.37"
1980-04-16,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-17,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-17,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-17,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-18,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-18,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-18,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-18,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-18,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-19,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-19,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-19,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-20,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-20,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-20,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-20,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-20,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-21,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-21,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-21,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-21,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
