,count,mean,std,min,25%,50%,75%,max
flow_m3s,17805.0,290.905517578125,498.4786376953125,0.0,68.30000305175781,145.8699951171875,304.2699890136719,13102.5498046875
meta_unique_points,1.0,,,,,,,
