,count,mean,std,min,25%,50%,75%,max
nitrate_mg_l,2300.0,29.520870208740234,46.1338996887207,0.18000000715255737,1.0,8.650000095367432,38.5,430.0
meta_unique_points,112.0,,,,,,,
