site_id,site_label,y_m,x_m,n_obs,first_date,last_date,mean_nitrate,p95_nitrate,freq_label,missing_count,missing_first_5
204958.0_131467.0,418/AG49 | 204958.0_131467.0,204958.0,131467.0,30,2006-03-20 00:00:00+00:00,2023-10-11 12:10:00+00:00,90.6,165.49999999999997,irregular,0,
204980.0_135060.0,418/4 | 204980.0_135060.0,204980.0,135060.0,28,2000-03-13 00:00:00+00:00,2016-11-03 12:10:00+00:00,0.94614285,2.0,irregular,0,
207520.0_132260.0,418/15 | 207520.0_132260.0,207520.0,132260.0,9,2018-03-27 09:20:00+00:00,2023-10-11 12:50:00+00:00,2.5977776,7.579999923706054,irregular,0,
208638.9_148789.9,419/37 | 208638.9_148789.9,208638.9,148789.9,9,2019-03-19 10:50:00+00:00,2023-10-11 10:35:00+00:00,3.0111113,7.0200002670288075,irregular,0,
210230.0_147250.0,405/86 | 210230.0_147250.0,210230.0,147250.0,37,2000-03-13 00:00:00+00:00,2018-10-18 00:00:00+00:00,1.0194595,2.026000022888183,irregular,0,
210870.0_134850.0,404/69 | 210870.0_134850.0,210870.0,134850.0,20,2000-03-13 00:00:00+00:00,2013-04-02 09:40:00+00:00,1.3332,5.0150000095367435,irregular,0,
210931.0_147609.0,405/166 | 210931.0_147609.0,210931.0,147609.0,16,2013-02-21 00:00:00+00:00,2023-05-23 00:00:00+00:00,1.19375,1.8250000476837158,irregular,0,
211339.0_139649.0,405/AG6 | 211339.0_139649.0,211339.0,139649.0,6,2006-03-20 00:00:00+00:00,2009-10-26 00:00:00+00:00,58.968002,103.5,irregular,0,
212681.0_136682.0,405/32 | 212681.0_136682.0,212681.0,136682.0,10,2018-05-02 11:10:00+00:00,2023-10-11 11:40:00+00:00,1.053,1.6299999654293054,irregular,0,
217770.0_133900.0,404/73 | 217770.0_133900.0,217770.0,133900.0,18,2000-04-10 00:00:00+00:00,2023-04-26 00:00:00+00:00,0.7722222,1.0,irregular,0,
217770.0_133919.0,390/106 | 217770.0_133919.0,217770.0,133919.0,15,2016-01-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,1.0,1.0,irregular,0,
219500.0_136600.0,405/17 | 219500.0_136600.0,219500.0,136600.0,40,2000-03-13 00:00:00+00:00,2023-09-18 11:55:00+00:00,11.34575,48.15949993133544,irregular,0,
221120.0_148130.0,391/404 | 221120.0_148130.0,221120.0,148130.0,43,2000-03-13 00:00:00+00:00,2023-05-09 00:00:00+00:00,15.2673025,36.565000152587885,irregular,0,
222106.0_132573.0,390/125 | 222106.0_132573.0,222106.0,132573.0,14,2016-03-16 00:00:00+00:00,2023-04-17 00:00:00+00:00,1.0,1.0,irregular,0,
222574.2_159869.5,392/106 | 222574.2_159869.5,222574.2,159869.5,6,2013-02-26 00:00:00+00:00,2016-09-20 00:00:00+00:00,4.616667,5.1499998569488525,irregular,0,
222600.0_133220.0,390/116 | 222600.0_133220.0,222600.0,133220.0,11,2016-04-13 00:00:00+00:00,2023-04-12 00:00:00+00:00,1.0,1.0,irregular,0,
222676.0_133310.0,390/95 | 222676.0_133310.0,222676.0,133310.0,9,2016-03-09 00:00:00+00:00,2022-10-12 00:00:00+00:00,1.0,1.0,irregular,0,
