id,data,codigo,condutividade,condcamp20c,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
445,2003-03-18 00:00:00+00,341/240,,194.00,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:16:15.142609+00
446,2003-11-17 00:00:00+00,341/240,,222.00,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:16:15.142609+00
447,2004-04-14 00:00:00+00,341/240,,194.00,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:16:15.142609+00
448,2004-11-15 00:00:00+00,341/240,,198.00,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:16:15.142609+00
449,2006-10-03 00:00:00+00,341/240,,216.00,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:16:15.142609+00
450,2007-04-04 00:00:00+00,341/240,,210.00,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:16:15.142609+00
451,2000-04-12 00:00:00+00,341/241,,289.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
452,2000-10-25 00:00:00+00,341/241,,215.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
453,2001-10-23 14:20:00+00,341/241,,256.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
454,2002-03-11 00:00:00+00,341/241,,214.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
455,2002-10-29 00:00:00+00,341/241,,245.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
456,2003-03-18 00:00:00+00,341/241,,198.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
457,2003-11-17 00:00:00+00,341/241,,221.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
458,2004-04-14 00:00:00+00,341/241,,223.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
459,2004-11-15 00:00:00+00,341/241,,229.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
460,2006-10-03 00:00:00+00,341/241,,211.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
461,2007-04-04 00:00:00+00,341/241,,210.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
462,2009-06-03 00:00:00+00,341/241,,260.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
463,2009-10-28 00:00:00+00,341/241,,220.00,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
464,2012-12-10 10:15:00+00,341/241,260.00,,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:16:15.142609+00
465,2000-03-20 00:00:00+00,341/242,,316.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
466,2000-10-09 00:00:00+00,341/242,,267.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
467,2002-03-25 00:00:00+00,341/242,,290.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
468,2002-10-07 00:00:00+00,341/242,,268.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
469,2003-03-25 00:00:00+00,341/242,,292.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
470,2003-11-26 00:00:00+00,341/242,,308.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
471,2004-04-05 00:00:00+00,341/242,,310.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
472,2004-10-25 00:00:00+00,341/242,,308.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
473,2006-03-13 00:00:00+00,341/242,,309.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
474,2006-11-14 00:00:00+00,341/242,,296.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
475,2007-04-11 00:00:00+00,341/242,,310.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
476,2007-11-26 00:00:00+00,341/242,,310.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
477,2008-04-29 00:00:00+00,341/242,,290.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
478,2008-11-05 00:00:00+00,341/242,,290.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
479,2009-05-11 00:00:00+00,341/242,,290.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
480,2009-10-19 00:00:00+00,341/242,,260.00,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:16:15.142609+00
584,2007-03-26 00:00:00+00,330/231,,630.00,175050.00,275180.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:15.142609+00
660,2000-03-20 00:00:00+00,353/30,,362.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
661,2000-10-09 00:00:00+00,353/30,,314.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
662,2001-03-21 00:00:00+00,353/30,,312.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
663,2002-03-25 00:00:00+00,353/30,,340.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
664,2002-10-07 00:00:00+00,353/30,,303.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
665,2003-03-25 00:00:00+00,353/30,,332.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
666,2003-11-26 00:00:00+00,353/30,,340.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
667,2004-10-25 00:00:00+00,353/30,,351.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
668,2006-03-13 00:00:00+00,353/30,,339.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
669,2006-11-14 00:00:00+00,353/30,,345.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
670,2007-04-11 00:00:00+00,353/30,,350.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
671,2007-11-26 00:00:00+00,353/30,,360.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
672,2008-04-29 00:00:00+00,353/30,,350.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
673,2008-11-05 00:00:00+00,353/30,,330.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
674,2009-10-19 00:00:00+00,353/30,,320.00,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
675,2014-03-03 00:00:00+00,353/30,269.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
676,2014-09-01 00:00:00+00,353/30,375.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
677,2016-09-05 00:00:00+00,353/30,242.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
678,2017-09-04 00:00:00+00,353/30,520.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
679,2018-03-05 00:00:00+00,353/30,435.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
