id,data,codigo,nitrato,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
492,2003-11-17 00:00:00+00,341/240,0.66,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
493,2004-04-14 00:00:00+00,341/240,0.66,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
494,2004-11-15 00:00:00+00,341/240,0.664,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
495,2005-04-18 00:00:00+00,341/240,0.66,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
496,2005-10-19 00:00:00+00,341/240,0.66,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
497,2006-03-27 00:00:00+00,341/240,0.66,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
498,2006-10-03 00:00:00+00,341/240,0.84,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
499,2007-04-04 00:00:00+00,341/240,0.84,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
500,2008-04-02 00:00:00+00,341/240,0.84,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
501,2008-10-01 00:00:00+00,341/240,0.84,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
502,2000-04-12 00:00:00+00,341/241,0.31,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
503,2000-10-25 00:00:00+00,341/241,0.58,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
504,2001-10-23 00:00:00+00,341/241,0.18,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
505,2002-03-11 00:00:00+00,341/241,0.18,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
506,2002-10-29 00:00:00+00,341/241,0.84,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
507,2003-03-18 00:00:00+00,341/241,0.84,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
508,2003-11-17 00:00:00+00,341/241,0.66,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
509,2004-04-14 00:00:00+00,341/241,0.66,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
510,2004-11-15 00:00:00+00,341/241,3.278,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
511,2005-04-18 00:00:00+00,341/241,0.83,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
512,2005-10-19 00:00:00+00,341/241,0.66,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
513,2006-03-27 00:00:00+00,341/241,0.66,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
514,2006-10-03 00:00:00+00,341/241,0.84,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
515,2007-04-04 00:00:00+00,341/241,0.84,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
516,2008-04-02 00:00:00+00,341/241,0.84,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
517,2008-10-01 00:00:00+00,341/241,0.84,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
518,2009-06-03 00:00:00+00,341/241,0.886,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
519,2009-10-28 00:00:00+00,341/241,0.886,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
520,2010-06-24 10:30:00+00,341/241,2.000,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
