id,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
63,1978-03-08 00:00:00+00,405/7,0.6,3.40,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
64,1978-03-29 00:00:00+00,420/8,20.5,23.50,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
66,1978-04-01 00:00:00+00,420/8,20.49,23.51,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
67,1978-04-01 00:00:00+00,420/9,20.71,23.29,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
68,1978-04-19 00:00:00+00,432/73,18.38,32.62,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
69,1978-04-20 00:00:00+00,404/61,-5.2,8.20,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
70,1978-04-20 00:00:00+00,404/62,-0.26,2.26,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
71,1978-04-20 00:00:00+00,405/11,0.82,9.18,136800.00,219520.00,10.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
72,1978-04-20 00:00:00+00,405/13,0.67,4.33,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
73,1978-04-20 00:00:00+00,405/7,1.53,2.47,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
74,1978-04-20 00:00:00+00,420/8,20.49,23.51,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
75,1978-05-01 00:00:00+00,420/8,20.51,23.49,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
76,1978-05-01 00:00:00+00,420/9,20.68,23.32,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
