id,ano,municipio,volume_rega_m3,volume_rega_hm3,lat,long,created_at
56,2009,Salvaterra de Magos,24329970.2,24.32997021,39.043,-8.713,2025-08-06 16:49:27.996219+00
57,2009,Santarém,5375507.9,5.375507911,39.275,-8.635,2025-08-06 16:49:27.996219+00
58,2009,Torres Novas,570747.0,0.57074696,39.421,-8.509,2025-08-06 16:49:27.996219+00
59,2009,Vila Franca de Xira,29301898.6,29.30189861,38.943,-8.931,2025-08-06 16:49:27.996219+00
60,2009,Vila Nova da Barquinha,79403.4,0.079403436,39.461,-8.395,2025-08-06 16:49:27.996219+00
61,2019,Abrantes,308151.3353,0.308151335,39.468,-8.264,2025-08-06 16:49:27.996219+00
62,2019,Alcochete,17331102.19,17.33110219,38.722,-8.895,2025-08-06 16:49:27.996219+00
63,2019,Alenquer,371610.1806,0.371610181,39.014,-8.94,2025-08-06 16:49:27.996219+00
64,2019,Almeirim,50948698.19,50.94869819,39.166,-8.599,2025-08-06 16:49:27.996219+00
65,2019,Alpiarça,26679389.53,26.67938953,39.241,-8.571,2025-08-06 16:49:27.996219+00
66,2019,Azambuja,10657879.21,10.65787921,39.05,-8.854,2025-08-06 16:49:27.996219+00
67,2019,Benavente,89803228.99,89.80322899,38.868,-8.809,2025-08-06 16:49:27.996219+00
68,2019,Cartaxo,15490031.14,15.49003114,39.127,-8.745,2025-08-06 16:49:27.996219+00
69,2019,Chamusca,5026807.023,5.026807023,39.362,-8.483,2025-08-06 16:49:27.996219+00
70,2019,Constância,522304.2502,0.52230425,39.465,-8.303,2025-08-06 16:49:27.996219+00
71,2019,Coruche,2531647.668,2.531647668,38.978,-8.624,2025-08-06 16:49:27.996219+00
72,2019,Golegã,47281499.18,47.28149918,39.382,-8.508,2025-08-06 16:49:27.996219+00
73,2019,Moita,6899888.79,6.89988879,38.647,-8.997,2025-08-06 16:49:27.996219+00
74,2019,Montijo,34480206.37,34.48020637,38.737,-8.64,2025-08-06 16:49:27.996219+00
75,2019,Palmela,59312748.5,59.3127485,38.619,-8.807,2025-08-06 16:49:27.996219+00
76,2019,Salvaterra de Magos,32105078.84,32.10507884,39.043,-8.713,2025-08-06 16:49:27.996219+00
77,2019,Santarém,7726431.01,7.72643101,39.275,-8.635,2025-08-06 16:49:27.996219+00
78,2019,Torres Novas,781450.8666,0.781450867,39.421,-8.509,2025-08-06 16:49:27.996219+00
79,2019,Vila Franca de Xira,34992369.5,34.9923695,38.943,-8.931,2025-08-06 16:49:27.996219+00
80,2019,Vila Nova da Barquinha,38254.2165,0.038254216,39.461,-8.395,2025-08-06 16:49:27.996219+00
81,2022,Abrantes,2340583.705,2.340583705,39.468,-8.264,2025-08-06 16:49:27.996219+00
82,2022,Alcochete,21590419.0,21.59041899,38.722,-8.895,2025-08-06 16:49:27.996219+00
83,2022,Alenquer,1090068.0,1.090068499,39.014,-8.94,2025-08-06 16:49:27.996219+00
84,2022,Almeirim,34656170.0,34.65616987,39.166,-8.599,2025-08-06 16:49:27.996219+00
85,2022,Alpiarça,22697752.0,22.69775237,39.241,-8.571,2025-08-06 16:49:27.996219+00
86,2022,Azambuja,32288113.0,32.28811313,39.05,-8.854,2025-08-06 16:49:27.996219+00
87,2022,Benavente,93509319.0,93.50931904,38.868,-8.809,2025-08-06 16:49:27.996219+00
88,2022,Cartaxo,30126700.0,30.12670035,39.127,-8.745,2025-08-06 16:49:27.996219+00
89,2022,Chamusca,24971474.0,24.9714739,39.362,-8.483,2025-08-06 16:49:27.996219+00
90,2022,Constância,3820992.0,3.820991776,39.465,-8.303,2025-08-06 16:49:27.996219+00
91,2022,Coruche,985430.0,0.985429572,38.978,-8.624,2025-08-06 16:49:27.996219+00
92,2022,Golegã,42649106.0,42.64910634,39.382,-8.508,2025-08-06 16:49:27.996219+00
93,2022,Moita,2018171.0,2.01817131,38.647,-8.997,2025-08-06 16:49:27.996219+00
94,2022,Montijo,48723260.0,48.72325954,38.737,-8.64,2025-08-06 16:49:27.996219+00
95,2022,Palmela,57037084.0,57.03708442,38.619,-8.807,2025-08-06 16:49:27.996219+00
96,2022,Salvaterra de Magos,39380929.0,39.38092911,39.043,-8.713,2025-08-06 16:49:27.996219+00
97,2022,Santarém,16504339.0,16.50433922,39.275,-8.635,2025-08-06 16:49:27.996219+00
98,2022,Torres Novas,2602949.0,2.602949071,39.421,-8.509,2025-08-06 16:49:27.996219+00
99,2022,Vila Franca de Xira,82855212.0,82.8552119,38.943,-8.931,2025-08-06 16:49:27.996219+00
100,2022,Vila Nova da Barquinha,360024.0,0.36002429,39.461,-8.395,2025-08-06 16:49:27.996219+00
