,count,mean,std,min,25%,50%,75%,max
volume_rega_hm3,100.0,22.547664495130004,26.470672531122144,0.038254216,1.98332375425,10.776439775,34.524197244999996,118.1420097
meta_unique_points,20.0,,,,,,,
