date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
2017-10-01,2017-10-01,377/54,-1.15,6.05,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-6.05
2017-11-01,2017-11-01,377/54,0.05,4.85,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.85
2017-12-01,2017-12-01,377/54,0.22,4.68,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.68
2018-01-02,2018-01-02,377/54,0.75,4.15,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.15
2018-02-01,2018-02-01,377/54,1.25,3.65,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.65
2018-03-01,2018-03-01,377/54,2.0,2.9,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.9
2018-04-02,2018-04-02,377/54,1.1,3.8,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.8
2018-05-02,2018-05-02,377/54,0.83,4.07,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.07
2018-06-01,2018-06-01,377/54,1.27,3.63,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.63
2018-07-02,2018-07-02,377/54,-4.5,9.4,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-9.4
2018-08-01,2018-08-01,377/54,-5.9,10.8,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-10.8
2018-09-03,2018-09-03,377/54,-2.9,7.8,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-7.8
2018-10-01,2018-10-01,377/54,-1.43,6.33,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-6.33
2018-11-02,2018-11-02,377/54,0.7,4.2,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.2
2018-12-03,2018-12-03,377/54,1.3,3.6,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.6
2019-01-02,2019-01-02,377/54,1.2,3.7,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.7
2019-02-01,2019-02-01,377/54,1.18,3.72,146991.0,236849.0,4.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.72
