date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
1999-12-01,1999-12-01,342/97,13.08,4.92,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-4.92
2000-01-01,2000-01-01,342/97,12.63,5.37,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.37
2000-02-01,2000-02-01,342/97,12.4,5.6,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.6
2000-03-01,2000-03-01,342/97,11.87,6.13,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.13
2000-04-01,2000-04-01,342/97,12.21,5.79,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.79
2000-05-01,2000-05-01,342/97,13.18,4.82,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-4.82
2000-06-01,2000-06-01,342/97,11.95,6.05,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.05
2000-07-01,2000-07-01,342/97,11.93,6.07,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.07
2000-08-01,2000-08-01,342/97,12.37,5.63,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.63
2000-09-01,2000-09-01,342/97,13.43,4.57,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-4.57
2000-10-01,2000-10-01,342/97,12.97,5.03,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.03
2000-11-01,2000-11-01,342/97,12.42,5.58,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.58
2000-12-01,2000-12-01,342/97,14.49,3.51,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-3.51
2001-01-31,2001-01-31,342/97,16.14,1.86,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-1.86
2001-02-15,2001-02-15,342/97,15.0,3.0,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-3.0
2001-03-22,2001-03-22,342/97,14.95,3.05,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-3.05
2001-05-11,2001-05-11,342/97,13.18,4.82,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-4.82
2001-06-20,2001-06-20,342/97,12.53,5.47,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.47
2001-07-13,2001-07-13,342/97,11.85,6.15,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.15
2001-08-14,2001-08-14,342/97,11.76,6.24,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.24
2002-04-09,2002-04-09,342/97,12.8,5.2,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.2
2002-05-15,2002-05-15,342/97,11.42,6.58,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.58
2002-06-19,2002-06-19,342/97,12.39,5.61,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.61
2003-06-03,2003-06-03,342/97,12.78,5.22,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.22
2003-06-24,2003-06-24,342/97,12.78,5.22,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.22
2003-07-28,2003-07-28,342/97,11.99,6.01,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.01
2003-08-20,2003-08-20,342/97,12.53,5.47,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.47
2003-09-28,2003-09-28,342/97,12.93,5.07,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.07
2003-10-27,2003-10-27,342/97,13.5,4.5,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-4.5
2003-11-25,2003-11-25,342/97,14.64,3.36,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-3.36
2004-01-03,2004-01-03,342/97,13.5,4.5,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-4.5
2005-04-27,2005-04-27,342/97,10.8,7.2,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-7.2
2005-05-25,2005-05-25,342/97,10.4,7.6,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-7.6
2005-06-22,2005-06-22,342/97,11.15,6.85,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.85
2005-07-29,2005-07-29,342/97,10.75,7.25,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-7.25
2005-08-29,2005-08-29,342/97,10.8,7.2,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-7.2
2005-09-27,2005-09-27,342/97,10.81,7.19,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-7.19
2006-01-23,2006-01-23,342/97,11.79,6.21,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.21
2006-02-21,2006-02-21,342/97,11.79,6.21,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.21
2006-03-23,2006-03-23,342/97,12.46,5.54,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-5.54
2006-04-26,2006-04-26,342/97,11.72,6.28,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.28
2006-05-23,2006-05-23,342/97,11.27,6.73,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.73
2006-06-29,2006-06-29,342/97,11.3,6.7,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.7
2006-07-26,2006-07-26,342/97,11.77,6.23,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.23
2006-08-29,2006-08-29,342/97,11.53,6.47,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.47
2006-09-26,2006-09-26,342/97,11.5,6.5,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.5
2006-10-26,2006-10-26,342/97,15.14,2.86,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-2.86
2006-11-30,2006-11-30,342/97,14.74,3.26,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-3.26
2006-12-21,2006-12-21,342/97,14.17,3.83,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-3.83
2007-01-25,2007-01-25,342/97,11.81,6.19,170240.0,266560.0,18.0,T7 - ALUVIÕES DO TEJO,,CHAMUSCA,-6.19
