date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
1999-12-01,1999-12-01,341/17,15.95,7.05,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.05
2000-01-01,2000-01-01,341/17,16.04,6.96,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.96
2000-02-01,2000-02-01,341/17,16.06,6.94,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.94
2000-03-01,2000-03-01,341/17,16.04,6.96,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.96
2000-04-01,2000-04-01,341/17,16.2,6.8,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.8
2000-05-01,2000-05-01,341/17,16.59,6.41,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.41
2000-06-01,2000-06-01,341/17,16.2,6.8,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.8
2000-07-01,2000-07-01,341/17,15.64,7.36,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.36
2000-09-01,2000-09-01,341/17,15.25,7.75,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.75
2000-10-01,2000-10-01,341/17,15.51,7.49,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.49
2000-11-01,2000-11-01,341/17,15.52,7.48,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.48
2000-12-01,2000-12-01,341/17,16.44,6.56,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.56
2001-01-25,2001-01-25,341/17,19.1,3.9,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-3.9
2001-02-22,2001-02-22,341/17,19.78,3.22,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-3.22
2001-03-21,2001-03-21,341/17,20.1,2.9,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-2.9
2001-05-10,2001-05-10,341/17,18.7,4.3,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-4.3
2001-06-18,2001-06-18,341/17,17.76,5.24,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-5.24
2002-04-19,2002-04-19,341/17,16.82,6.18,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.18
2002-05-31,2002-05-31,341/17,16.56,6.44,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.44
2002-06-14,2002-06-14,341/17,16.32,6.68,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.68
2002-07-05,2002-07-05,341/17,15.9,7.1,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.1
2005-02-03,2005-02-03,341/17,15.72,7.28,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.28
2005-05-12,2005-05-12,341/17,15.89,7.11,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.11
2005-06-09,2005-06-09,341/17,15.37,7.63,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.63
2005-08-05,2005-08-05,341/17,14.25,8.75,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-8.75
2005-09-08,2005-09-08,341/17,13.96,9.04,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-9.04
2006-01-09,2006-01-09,341/17,15.21,7.79,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.79
2006-02-06,2006-02-06,341/17,15.38,7.62,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.62
2006-03-07,2006-03-07,341/17,15.57,7.43,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.43
2006-04-06,2006-04-06,341/17,16.0,7.0,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.0
2006-05-04,2006-05-04,341/17,16.19,6.81,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-6.81
2006-06-05,2006-06-05,341/17,15.88,7.12,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.12
2006-07-07,2006-07-07,341/17,13.45,9.55,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-9.55
2006-08-04,2006-08-04,341/17,15.23,7.77,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.77
2006-09-13,2006-09-13,341/17,14.69,8.31,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-8.31
2006-10-12,2006-10-12,341/17,15.02,7.98,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-7.98
2006-11-02,2006-11-02,341/17,14.55,8.45,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-8.45
2006-12-12,2006-12-12,341/17,17.63,5.37,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-5.37
2007-01-04,2007-01-04,341/17,17.87,5.13,165540.0,265050.0,23.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,AZINHAGA,-5.13
