date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
1979-03-01,1979-03-01,377/94,19.92,3.08,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-3.08
1979-05-01,1979-05-01,377/94,20.1,2.9,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-2.9
1979-08-01,1979-08-01,377/94,19.4,3.6,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-3.6
1979-09-01,1979-09-01,377/94,19.1,3.9,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-3.9
1979-10-01,1979-10-01,377/94,18.9,4.1,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.1
1979-12-01,1979-12-01,377/94,19.09,3.91,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-3.91
1980-01-01,1980-01-01,377/94,19.06,3.94,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-3.94
1980-02-01,1980-02-01,377/94,18.98,4.02,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.02
1980-04-01,1980-04-01,377/94,18.98,4.02,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.02
1980-05-01,1980-05-01,377/94,18.92,4.08,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.08
1980-07-01,1980-07-01,377/94,18.73,4.27,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.27
1980-08-01,1980-08-01,377/94,18.64,4.36,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.36
1980-10-01,1980-10-01,377/94,18.35,4.65,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.65
1981-02-01,1981-02-01,377/94,18.14,4.86,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.86
1981-04-01,1981-04-01,377/94,18.04,4.96,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.96
1981-05-01,1981-05-01,377/94,17.92,5.08,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.08
1981-07-01,1981-07-01,377/94,17.83,5.17,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.17
1981-09-01,1981-09-01,377/94,17.64,5.36,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.36
1981-11-01,1981-11-01,377/94,17.55,5.45,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.45
1982-01-01,1982-01-01,377/94,17.75,5.25,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.25
1982-04-01,1982-04-01,377/94,18.08,4.92,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.92
1982-05-01,1982-05-01,377/94,17.15,5.85,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.85
1982-09-01,1982-09-01,377/94,17.71,5.29,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.29
1982-10-01,1982-10-01,377/94,17.57,5.43,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.43
1982-11-01,1982-11-01,377/94,17.41,5.59,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.59
1983-12-01,1983-12-01,377/94,17.63,5.37,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.37
1984-01-01,1984-01-01,377/94,17.83,5.17,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.17
1984-02-01,1984-02-01,377/94,17.98,5.02,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.02
1984-03-01,1984-03-01,377/94,18.12,4.88,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.88
1984-04-01,1984-04-01,377/94,18.08,4.92,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.92
1984-05-01,1984-05-01,377/94,18.0,5.0,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.0
1984-06-01,1984-06-01,377/94,17.75,5.25,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.25
1984-07-01,1984-07-01,377/94,17.7,5.3,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.3
1984-10-01,1984-10-01,377/94,17.58,5.42,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.42
1984-11-01,1984-11-01,377/94,17.65,5.35,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.35
1984-12-01,1984-12-01,377/94,17.43,5.57,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.57
1985-01-01,1985-01-01,377/94,17.61,5.39,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.39
1985-02-01,1985-02-01,377/94,17.95,5.05,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.05
1985-04-01,1985-04-01,377/94,18.53,4.47,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.47
1985-05-01,1985-05-01,377/94,18.83,4.17,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.17
1985-07-01,1985-07-01,377/94,18.6,4.4,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.4
1985-09-01,1985-09-01,377/94,18.52,4.48,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.48
1985-10-01,1985-10-01,377/94,18.45,4.55,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.55
1985-11-01,1985-11-01,377/94,18.5,4.5,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.5
1986-01-01,1986-01-01,377/94,18.47,4.53,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.53
1986-02-01,1986-02-01,377/94,18.68,4.32,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.32
1986-03-01,1986-03-01,377/94,18.96,4.04,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.04
1986-04-01,1986-04-01,377/94,18.95,4.05,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.05
1986-05-01,1986-05-01,377/94,18.83,4.17,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.17
1986-06-01,1986-06-01,377/94,18.66,4.34,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.34
1986-07-01,1986-07-01,377/94,18.58,4.42,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.42
1986-09-01,1986-09-01,377/94,18.06,4.94,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.94
1986-10-01,1986-10-01,377/94,18.0,5.0,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.0
1986-12-01,1986-12-01,377/94,18.07,4.93,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-4.93
1987-01-01,1987-01-01,377/94,18.0,5.0,148399.0,234273.0,23.0,T7 - ALUVIÕES DO TEJO,,MUGE,-5.0
