date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
2016-11-09,2016-11-09,331/15,60.31,14.69,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-14.69
2016-12-20,2016-12-20,331/15,59.68,15.32,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.32
2017-01-26,2017-01-26,331/15,59.71,15.29,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.29
2017-02-17,2017-02-17,331/15,59.83,15.17,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.17
2017-04-17,2017-04-17,331/15,59.98,15.02,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.02
2017-05-17,2017-05-17,331/15,59.92,15.08,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.08
2017-07-06,2017-07-06,331/15,59.53,15.47,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.47
2017-08-17,2017-08-17,331/15,59.25,15.75,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.75
2017-09-14,2017-09-14,331/15,59.2,15.8,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.8
2017-10-17,2017-10-17,331/15,59.14,15.86,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.86
2017-12-13,2017-12-13,331/15,59.15,15.85,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.85
2018-01-12,2018-01-12,331/15,59.27,15.73,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.73
2018-02-15,2018-02-15,331/15,59.48,15.52,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.52
2018-03-13,2018-03-13,331/15,59.7,15.3,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.3
2018-04-17,2018-04-17,331/15,59.92,15.08,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.08
2018-05-15,2018-05-15,331/15,60.12,14.88,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-14.88
2018-06-16,2018-06-16,331/15,61.47,13.53,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-13.53
2018-07-16,2018-07-16,331/15,59.98,15.02,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.02
2018-08-14,2018-08-14,331/15,60.44,14.56,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-14.56
2018-09-14,2018-09-14,331/15,59.68,15.32,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.32
2018-10-16,2018-10-16,331/15,59.59,15.41,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.41
2018-11-13,2018-11-13,331/15,59.64,15.36,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.36
2019-01-02,2019-01-02,331/15,59.8,15.2,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.2
2019-02-13,2019-02-13,331/15,59.92,15.08,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.08
2019-03-15,2019-03-15,331/15,60.02,14.98,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-14.98
2019-04-16,2019-04-16,331/15,59.97,15.03,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.03
2019-05-14,2019-05-14,331/15,60.0,15.0,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.0
2019-07-16,2019-07-16,331/15,59.57,15.43,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.43
2019-08-14,2019-08-14,331/15,59.35,15.65,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.65
2019-09-17,2019-09-17,331/15,59.03,15.97,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.97
2019-10-15,2019-10-15,331/15,59.19,15.81,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.81
2019-11-19,2019-11-19,331/15,59.32,15.68,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.68
2019-12-17,2019-12-17,331/15,59.43,15.57,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.57
2020-01-16,2020-01-16,331/15,59.61,15.39,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.39
2020-02-16,2020-02-16,331/15,59.87,15.13,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.13
2020-03-13,2020-03-13,331/15,59.95,15.05,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-15.05
2020-05-19,2020-05-19,331/15,60.2,14.8,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-14.8
2020-06-18,2020-06-18,331/15,60.12,14.88,193296.0,278102.0,75.0,T7 - ALUVIÕES DO TEJO,EM RESERVA,ABRANTES (SÃO VICENTE),-14.88
