date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
1979-06-01,1979-06-01,405/34,18.04,2.96,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.96
1979-07-01,1979-07-01,405/34,17.85,3.15,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.15
1979-08-01,1979-08-01,405/34,17.76,3.24,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.24
1979-09-01,1979-09-01,405/34,17.51,3.49,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.49
1979-10-01,1979-10-01,405/34,17.63,3.37,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.37
1979-12-01,1979-12-01,405/34,17.9,3.1,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.1
1980-01-01,1980-01-01,405/34,17.81,3.19,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.19
1980-02-01,1980-02-01,405/34,18.01,2.99,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.99
1980-03-01,1980-03-01,405/34,18.06,2.94,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.94
1980-04-01,1980-04-01,405/34,18.28,2.72,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.72
1980-05-01,1980-05-01,405/34,18.03,2.97,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.97
1980-06-01,1980-06-01,405/34,17.77,3.23,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.23
1980-07-01,1980-07-01,405/34,17.53,3.47,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.47
1980-09-01,1980-09-01,405/34,17.35,3.65,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.65
1980-11-01,1980-11-01,405/34,17.12,3.88,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.88
1980-12-01,1980-12-01,405/34,16.84,4.16,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.16
1981-03-01,1981-03-01,405/34,16.11,4.89,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.89
1981-05-01,1981-05-01,405/34,15.57,5.43,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-5.43
1981-06-01,1981-06-01,405/34,16.01,4.99,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.99
1981-07-01,1981-07-01,405/34,16.02,4.98,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.98
1981-09-01,1981-09-01,405/34,15.6,5.4,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-5.4
1981-10-01,1981-10-01,405/34,15.55,5.45,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-5.45
1981-12-01,1981-12-01,405/34,15.46,5.54,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-5.54
1982-01-01,1982-01-01,405/34,18.64,2.36,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.36
1982-03-01,1982-03-01,405/34,18.36,2.64,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.64
1982-04-01,1982-04-01,405/34,18.62,2.38,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.38
1982-10-01,1982-10-01,405/34,17.16,3.84,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.84
1983-11-01,1983-11-01,405/34,15.17,5.83,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-5.83
1984-04-01,1984-04-01,405/34,18.45,2.55,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.55
1984-07-01,1984-07-01,405/34,17.79,3.21,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.21
1984-12-01,1984-12-01,405/34,17.19,3.81,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.81
1985-03-01,1985-03-01,405/34,19.17,1.83,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.83
1985-07-01,1985-07-01,405/34,18.11,2.89,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.89
1986-02-01,1986-02-01,405/34,18.85,2.15,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.15
1986-06-01,1986-06-01,405/34,18.0,3.0,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.0
1986-10-01,1986-10-01,405/34,17.38,3.62,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.62
1987-01-01,1987-01-01,405/34,17.06,3.94,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.94
1987-10-01,1987-10-01,405/34,17.35,3.65,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.65
1988-01-01,1988-01-01,405/34,18.63,2.37,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.37
1988-06-01,1988-06-01,405/34,17.98,3.02,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.02
1989-01-01,1989-01-01,405/34,17.79,3.21,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.21
1989-05-01,1989-05-01,405/34,17.96,3.04,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.04
1989-11-01,1989-11-01,405/34,17.85,3.15,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.15
1990-02-01,1990-02-01,405/34,19.11,1.89,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.89
1991-02-01,1991-02-01,405/34,18.64,2.36,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.36
1991-05-01,1991-05-01,405/34,18.31,2.69,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.69
1994-03-01,1994-03-01,405/34,18.1,2.9,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.9
2000-01-01,2000-01-01,405/34,17.92,3.08,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.08
2000-02-01,2000-02-01,405/34,17.88,3.12,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.12
2000-03-01,2000-03-01,405/34,17.8,3.2,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.2
2000-04-01,2000-04-01,405/34,17.81,3.19,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.19
2000-05-01,2000-05-01,405/34,18.01,2.99,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.99
2000-06-01,2000-06-01,405/34,17.89,3.11,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.11
2000-07-01,2000-07-01,405/34,17.71,3.29,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.29
2000-08-01,2000-08-01,405/34,17.58,3.42,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.42
2000-09-01,2000-09-01,405/34,17.47,3.53,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.53
2000-11-01,2000-11-01,405/34,17.19,3.81,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.81
2000-12-01,2000-12-01,405/34,18.05,2.95,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.95
2001-03-15,2001-03-15,405/34,19.38,1.62,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.62
2002-04-19,2002-04-19,405/34,18.55,2.45,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.45
2002-06-18,2002-06-18,405/34,18.42,2.58,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.58
2002-07-12,2002-07-12,405/34,18.31,2.69,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.69
2003-05-25,2003-05-25,405/34,19.17,1.83,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.83
2003-06-24,2003-06-24,405/34,18.85,2.15,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.15
2003-07-25,2003-07-25,405/34,18.73,2.27,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.27
2003-08-26,2003-08-26,405/34,18.5,2.5,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.5
2003-09-30,2003-09-30,405/34,18.56,2.44,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.44
2003-10-26,2003-10-26,405/34,18.44,2.56,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.56
2003-11-27,2003-11-27,405/34,18.74,2.26,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.26
2004-01-04,2004-01-04,405/34,19.38,1.62,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.62
2005-01-14,2005-01-14,405/34,17.28,3.72,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.72
2005-04-21,2005-04-21,405/34,17.4,3.6,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.6
2005-05-19,2005-05-19,405/34,17.16,3.84,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.84
2005-06-23,2005-06-23,405/34,16.96,4.04,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.04
2005-07-22,2005-07-22,405/34,16.81,4.19,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.19
2005-08-18,2005-08-18,405/34,16.75,4.25,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.25
2005-09-22,2005-09-22,405/34,16.59,4.41,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-4.41
2006-01-19,2006-01-19,405/34,17.38,3.62,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.62
2006-02-13,2006-02-13,405/34,17.54,3.46,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.46
2006-03-14,2006-03-14,405/34,17.21,3.79,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.79
2006-04-20,2006-04-20,405/34,18.62,2.38,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.38
2006-05-18,2006-05-18,405/34,18.41,2.59,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.59
2006-06-20,2006-06-20,405/34,18.24,2.76,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.76
2006-07-25,2006-07-25,405/34,18.0,3.0,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.0
2006-08-30,2006-08-30,405/34,17.49,3.51,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.51
2006-09-28,2006-09-28,405/34,17.24,3.76,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.76
2006-10-23,2006-10-23,405/34,17.3,3.7,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.7
2006-11-23,2006-11-23,405/34,19.52,1.48,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.48
2006-12-21,2006-12-21,405/34,19.87,1.13,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.13
2007-01-18,2007-01-18,405/34,19.57,1.43,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.43
2007-03-22,2007-03-22,405/34,19.42,1.58,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.58
2007-04-26,2007-04-26,405/34,19.15,1.85,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.85
2007-05-24,2007-05-24,405/34,19.03,1.97,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.97
2007-06-27,2007-06-27,405/34,18.73,2.27,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.27
2007-07-27,2007-07-27,405/34,18.56,2.44,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.44
2007-08-30,2007-08-30,405/34,18.41,2.59,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.59
2007-09-20,2007-09-20,405/34,18.35,2.65,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.65
2007-10-26,2007-10-26,405/34,18.17,2.83,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.83
2007-11-22,2007-11-22,405/34,18.16,2.84,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.84
2007-12-20,2007-12-20,405/34,17.89,3.11,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.11
2008-01-24,2008-01-24,405/34,17.92,3.08,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.08
2008-02-21,2008-02-21,405/34,18.39,2.61,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.61
2008-03-26,2008-03-26,405/34,18.8,2.2,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.2
2008-04-24,2008-04-24,405/34,18.71,2.29,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.29
2008-05-21,2008-05-21,405/34,18.82,2.18,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.18
2008-06-19,2008-06-19,405/34,18.55,2.45,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.45
2008-07-24,2008-07-24,405/34,18.32,2.68,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.68
2008-08-21,2008-08-21,405/34,18.14,2.86,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.86
2008-09-25,2008-09-25,405/34,17.95,3.05,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.05
2008-10-23,2008-10-23,405/34,17.72,3.28,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.28
2008-11-19,2008-11-19,405/34,17.34,3.66,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.66
2008-12-19,2008-12-19,405/34,17.06,3.94,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.94
2009-01-28,2009-01-28,405/34,17.07,3.93,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.93
2009-02-26,2009-02-26,405/34,18.96,2.04,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.04
2009-03-26,2009-03-26,405/34,18.8,2.2,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.2
2009-04-23,2009-04-23,405/34,18.67,2.33,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.33
2009-05-22,2009-05-22,405/34,18.5,2.5,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.5
2009-06-24,2009-06-24,405/34,18.23,2.77,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.77
2009-07-23,2009-07-23,405/34,18.11,2.89,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.89
2009-08-26,2009-08-26,405/34,17.75,3.25,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.25
2009-09-24,2009-09-24,405/34,17.51,3.49,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.49
2009-10-30,2009-10-30,405/34,17.19,3.81,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.81
2009-11-19,2009-11-19,405/34,17.06,3.94,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.94
2009-12-22,2009-12-22,405/34,17.23,3.77,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.77
2010-01-26,2010-01-26,405/34,19.46,1.54,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.54
2010-02-18,2010-02-18,405/34,19.29,1.71,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.71
2010-03-22,2010-03-22,405/34,20.11,0.89,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-0.89
2010-10-18,2010-10-18,405/34,17.38,3.62,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-3.62
2010-11-11,2010-11-11,405/34,18.87,2.13,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-2.13
2010-12-16,2010-12-16,405/34,19.03,1.97,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.97
2011-02-07,2011-02-07,405/34,19.98,1.02,139561.0,211220.0,21.0,T7 - ALUVIÕES DO TEJO,,SAMORA CORREIA,-1.02
