"data","codigo","condutividade","condcamp20c","coord_x_m","coord_y_m","altitude_m","sistema_aquifero","estado","freguesia"
2003-10-13 00:00:00.000,"330/231",,407.0,175050,275180,,T7 - ALUVIÕES DO TEJO,,
2004-10-19 00:00:00.000,"330/231",,479.0,175050,275180,,T7 - ALUVIÕES DO TEJO,,
2006-05-15 00:00:00.000,"330/231",,517.0,175050,275180,,T7 - ALUVIÕES DO TEJO,,
2016-06-28 00:00:00.000,"319/104",710.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2016-09-28 00:00:00.000,"319/104",807.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2017-06-13 00:00:00.000,"319/104",686.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2017-10-11 00:00:00.000,"319/104",657.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2018-06-26 00:00:00.000,"319/104",620.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2018-10-30 00:00:00.000,"319/104",776.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2019-06-25 00:00:00.000,"319/104",666.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2019-09-25 00:00:00.000,"319/104",674.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2020-06-24 00:00:00.000,"319/104",588.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2020-10-21 00:00:00.000,"319/104",646.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2021-05-19 00:00:00.000,"319/104",633.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2021-09-28 00:00:00.000,"319/104",646.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2022-04-26 00:00:00.000,"319/104",649.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2022-09-27 00:00:00.000,"319/104",639.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2023-06-01 00:00:00.000,"319/104",636.0,,163541,284240,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2017-06-27 00:00:00.000,"319/26",633.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
