date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
2003-05-14,2003-05-14,391/437,-1.1,12.1,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.1
2004-07-20,2004-07-20,391/437,-3.08,14.08,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.08
2005-02-06,2005-02-06,391/437,-2.12,13.12,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.12
2005-07-22,2005-07-22,391/437,-4.24,15.24,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-15.24
2006-03-14,2006-03-14,391/437,-2.15,13.15,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.15
2006-04-18,2006-04-18,391/437,-2.15,13.15,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.15
2006-04-20,2006-04-20,391/437,-2.12,13.12,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.12
2006-05-18,2006-05-18,391/437,-3.07,14.07,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.07
2006-06-20,2006-06-20,391/437,-2.54,13.54,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.54
2006-07-25,2006-07-25,391/437,-3.4,14.4,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.4
2006-08-30,2006-08-30,391/437,-3.4,14.4,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.4
2006-09-28,2006-09-28,391/437,-3.11,14.11,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.11
2006-10-23,2006-10-23,391/437,-3.09,14.09,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.09
2006-11-23,2006-11-23,391/437,-1.87,12.87,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.87
2006-12-21,2006-12-21,391/437,-1.55,12.55,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.55
2007-01-18,2007-01-18,391/437,-1.48,12.48,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.48
2007-02-23,2007-02-23,391/437,-1.3,12.3,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.3
2007-03-22,2007-03-22,391/437,-1.37,12.37,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.37
2007-04-26,2007-04-26,391/437,-1.8,12.8,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.8
2009-06-24,2009-06-24,391/437,-3.65,14.65,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.65
2009-07-23,2009-07-23,391/437,-3.8,14.8,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.8
2009-08-26,2009-08-26,391/437,-3.67,14.67,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.67
2009-09-24,2009-09-24,391/437,-3.36,14.36,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.36
2009-10-30,2009-10-30,391/437,-2.9,13.9,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.9
2009-11-19,2009-11-19,391/437,-2.71,13.71,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.71
2009-12-22,2009-12-22,391/437,-2.28,13.28,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.28
2010-01-26,2010-01-26,391/437,-1.6,12.6,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.6
2010-02-18,2010-02-18,391/437,-1.37,12.37,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.37
2010-03-22,2010-03-22,391/437,-0.95,11.95,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.95
2010-04-23,2010-04-23,391/437,-0.88,11.88,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.88
2010-05-24,2010-05-24,391/437,-1.46,12.46,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.46
2010-06-24,2010-06-24,391/437,-2.11,13.11,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.11
2010-07-26,2010-07-26,391/437,-3.1,14.1,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.1
2010-08-19,2010-08-19,391/437,-3.24,14.24,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-14.24
2010-09-24,2010-09-24,391/437,-2.89,13.89,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.89
2010-10-18,2010-10-18,391/437,-2.34,13.34,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.34
2010-11-11,2010-11-11,391/437,-2.09,13.09,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.09
2010-12-16,2010-12-16,391/437,-1.38,12.38,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.38
2011-01-17,2011-01-17,391/437,-0.95,11.95,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.95
2011-02-07,2011-02-07,391/437,-0.89,11.89,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.89
2011-03-07,2011-03-07,391/437,-0.63,11.63,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.63
2011-04-11,2011-04-11,391/437,-0.9,11.9,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.9
2011-05-05,2011-05-05,391/437,-0.63,11.63,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.63
2011-06-09,2011-06-09,391/437,-0.93,11.93,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-11.93
2011-07-07,2011-07-07,391/437,-1.93,12.93,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-12.93
2011-08-04,2011-08-04,391/437,-2.57,13.57,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.57
2011-09-12,2011-09-12,391/437,-2.1,13.1,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.1
2011-10-04,2011-10-04,391/437,-2.16,13.16,143834.0,225145.0,11.0,T7 - ALUVIÕES DO TEJO,EM SERVIÇO,BENAVENTE,-13.16
