date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
1979-03-01,1979-03-01,391/33,18.92,6.08,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-6.08
1979-05-01,1979-05-01,391/33,18.31,6.69,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-6.69
1979-06-01,1979-06-01,391/33,17.92,7.08,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.08
1979-08-01,1979-08-01,391/33,17.26,7.74,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.74
1979-09-01,1979-09-01,391/33,15.95,9.05,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-9.05
1979-10-01,1979-10-01,391/33,15.03,9.97,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-9.97
1979-12-01,1979-12-01,391/33,17.08,7.92,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.92
1980-01-01,1980-01-01,391/33,17.76,7.24,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.24
1980-03-01,1980-03-01,391/33,16.59,8.41,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.41
1980-04-01,1980-04-01,391/33,16.69,8.31,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.31
1980-05-01,1980-05-01,391/33,14.85,10.15,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.15
1980-07-01,1980-07-01,391/33,15.97,9.03,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-9.03
1980-08-01,1980-08-01,391/33,16.47,8.53,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.53
1981-02-01,1981-02-01,391/33,15.16,9.84,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-9.84
1981-04-01,1981-04-01,391/33,14.84,10.16,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.16
1981-05-01,1981-05-01,391/33,14.58,10.42,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.42
1981-07-01,1981-07-01,391/33,14.69,10.31,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.31
1981-09-01,1981-09-01,391/33,14.62,10.38,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.38
1981-11-01,1981-11-01,391/33,14.6,10.4,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.4
1982-04-01,1982-04-01,391/33,16.69,8.31,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.31
1982-05-01,1982-05-01,391/33,16.63,8.37,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.37
1982-09-01,1982-09-01,391/33,15.13,9.87,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-9.87
1982-10-01,1982-10-01,391/33,15.05,9.95,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-9.95
1982-11-01,1982-11-01,391/33,14.9,10.1,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.1
1983-11-01,1983-11-01,391/33,14.39,10.61,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-10.61
1983-12-01,1983-12-01,391/33,16.68,8.32,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.32
1984-01-01,1984-01-01,391/33,17.87,7.13,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.13
1984-02-01,1984-02-01,391/33,17.71,7.29,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.29
1984-03-01,1984-03-01,391/33,17.19,7.81,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.81
1984-04-01,1984-04-01,391/33,17.12,7.88,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-7.88
1984-05-01,1984-05-01,391/33,16.9,8.1,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.1
1984-06-01,1984-06-01,391/33,16.68,8.32,146740.0,226240.0,25.0,T7 - ALUVIÕES DO TEJO,,FOROS DE SALVATERRA,-8.32
